Port;Protocol;Description;
0;TCP;Programming technique for specifying system-allocated (dynamic) ports;
0;UDP;Reserved;
1;TCP, UDP;TCP Port Service Multiplexer (TCPMUX);
2;TCP, UDP;CompressNET;
3;TCP, UDP;CompressNET};
4;TCP, UDP;Unassigned;
5;TCP, UDP;Remote Job Entry;
6;TCP, UDP;Unassigned;
7;TCP, UDP;Echo Protocol;
8;TCP, UDP;Unassigned;
9;TCP, UDP;Discard Protocol;
9;UDP;Wake-on-LAN;
10;TCP, UDP;Unassigned;
11;TCP, UDP;Active Users (systat;
12;TCP, UDP;Unassigned;
13;TCP, UDP;Daytime Protocol (RFC 867);
14;TCP, UDP;Unassigned;
15;TCP, UDP;Previously netstat service;
16;TCP, UDP;Unassigned;
17;TCP, UDP;Quote of the Day;
18;TCP, UDP;Message Send Protocol;
19;TCP, UDP;Character Generator Protocol (CHARGEN);
20;TCP, UDP;FTP data transfer;
21;TCP, SCTP, UDP;FTP control (command);
22;TCP, SCTP, UDP;Secure Shell (SSH)—used for secure logins, file transfers (scp, sftp) and port forwarding;
23;TCP, UDP;Telnet protocol—unencrypted text communications;
24;TCP, UDP;Priv-mail: any private mail system.;
25;TCP, UDP;Simple Mail Transfer Protocol (SMTP)—used for e-mail routing between mail servers;
26;TCP, UDP;Unassigned;
27;TCP, UDP;NSW User System FE;
29;TCP, UDP;MSG ICP;
33;TCP, UDP;Display Support Protocol;
35;TCP, UDP;Any private printer server protocol;
37;TCP, UDP;TIME protocol;
39;TCP, UDP;Resource Location Protocol (RLP)—used for determining the location of higher level services from hosts on a network;
40;TCP, UDP;Unassigned;
42;TCP, UDP;ARPA Host Name Server Protocol;
42;TCP, UDP;Windows Internet Name Service;
43;TCP, UDP;WHOIS protocol;
47;TCP, UDP;NI FTP;
49;TCP, UDP;TACACS Login Host protocol;
50;TCP, UDP;Remote Mail Checking Protocol;
51;TCP, UDP;IMP Logical Address Maintenance;
52;TCP, UDP;XNS (Xerox Network Systems) Time Protocol;
53;TCP, UDP;Domain Name System (DNS);
54;TCP, UDP;XNS (Xerox Network Systems) Clearinghouse;
55;TCP, UDP;ISI Graphics Language (ISI-GL);
56;TCP, UDP;XNS (Xerox Network Systems) Authentication;
56;TCP, UDP;Route Access Protocol (RAP);
57;TCP, UDP;any private terminal access;
58;TCP, UDP;XNS (Xerox Network Systems) Mail;
64;TCP, UDP;CI (Travelport) (formerly Covia) Comms Integrator;
67;TCP, UDP;"Bootstrap Protocol (BOOTP) Server; also used by Dynamic Host Configuration Protocol (DHCP)";
68;TCP, UDP;"Bootstrap Protocol (BOOTP) Client; also used by Dynamic Host Configuration Protocol (DHCP)";
69;TCP, UDP;Trivial File Transfer Protocol (TFTP);
70;TCP, UDP;Gopher protocol;
71;TCP, UDP;NETRJS protocol;
72;TCP, UDP;NETRJS protocol;
73;TCP, UDP;NETRJS protocol;
74;TCP, UDP;NETRJS protocol;
77;TCP, UDP;Any private Remote Job Entry;
79;TCP, UDP;Finger protocol;
80;TCP, SCTP, UDP;Hypertext Transfer Protocol (HTTP);
80;UDP;QUIC (from Chromium) for HTTP;
81;TCP;Torpark—Onion routing;
82;UDP;Torpark—Control;
88;TCP, UDP;Kerberos—authentication system;
90;TCP, UDP;dnsix (DoD Network Security for Information Exchange) Securit Attribute Token Map;
90;TCP, UDP;PointCast (dotcom);
99;TCP;WIP Message protocol;
100;UDP;CyberGate RAT protocol;
101;TCP;NIC host name;
102;TCP;"ISO-TSAP (Transport Service Access Point) Class 0 protocol; also used by Digital Equipment Corporation DECnet (Phase V+) over TCP/IP";
